timestamp,type,field1,field2,field3
1749670645.744492,FRAME,h=0.548,v=0.650,blink=False
1749670645.744492,H-JITTER,amp=0.040,vel=-0.297,dt=0.134
1749670645.744492,V-JITTER,amp=0.007,vel=0.054,dt=0.134
1749670645.8793778,FRAME,h=0.551,v=0.707,blink=False
1749670645.8793778,V-JITTER,amp=0.057,vel=0.420,dt=0.135
1749670646.014675,FRAME,h=0.551,v=0.636,blink=False
1749670646.014675,V-SACCADE,amp=0.072,vel=-0.529,dt=0.135
1749670646.150378,FRAME,h=0.577,v=0.675,blink=False
1749670646.150378,H-JITTER,amp=0.025,vel=0.185,dt=0.136
1749670646.150378,V-JITTER,amp=0.040,vel=0.293,dt=0.136
1749670646.9489121,FRAME,h=0.561,v=0.703,blink=False
1749670647.081325,FRAME,h=0.565,v=0.658,blink=False
1749670647.081325,V-JITTER,amp=0.045,vel=-0.342,dt=0.132
1749670647.206342,FRAME,h=0.561,v=0.684,blink=False
1749670647.206342,V-JITTER,amp=0.026,vel=0.210,dt=0.125
1749670647.344196,FRAME,h=0.565,v=0.711,blink=False
1749670647.344196,V-JITTER,amp=0.026,vel=0.191,dt=0.138
1749670647.4776452,FRAME,h=0.558,v=0.703,blink=False
1749670647.4776452,H-JITTER,amp=0.008,vel=-0.059,dt=0.133
1749670647.4776452,V-JITTER,amp=0.007,vel=-0.055,dt=0.133
1749670647.6106172,FRAME,h=0.568,v=0.667,blink=False
1749670647.6106172,H-JITTER,amp=0.011,vel=0.082,dt=0.133
1749670647.6106172,V-JITTER,amp=0.036,vel=-0.272,dt=0.133
1749670647.74269,FRAME,h=0.587,v=0.714,blink=False
1749670647.74269,H-JITTER,amp=0.019,vel=0.142,dt=0.132
1749670647.74269,V-JITTER,amp=0.047,vel=0.355,dt=0.132
1749670650.283883,FRAME,h=0.559,v=0.703,blink=False
1749670650.412117,FRAME,h=0.567,v=0.675,blink=False
1749670650.412117,H-JITTER,amp=0.008,vel=0.065,dt=0.128
1749670650.412117,V-JITTER,amp=0.028,vel=-0.217,dt=0.128
1749670650.543582,FRAME,h=0.570,v=0.735,blink=False
1749670650.543582,V-JITTER,amp=0.060,vel=0.455,dt=0.131
1749670650.682948,FRAME,h=0.561,v=0.714,blink=False
1749670650.682948,H-JITTER,amp=0.008,vel=-0.058,dt=0.139
1749670650.682948,V-JITTER,amp=0.021,vel=-0.152,dt=0.139
1749670650.812465,FRAME,h=0.583,v=0.614,blink=False
1749670650.812465,H-JITTER,amp=0.021,vel=0.166,dt=0.130
1749670650.812465,V-SACCADE,amp=0.100,vel=-0.773,dt=0.130
1749670650.944391,FRAME,h=0.583,v=0.666,blink=False
1749670650.944391,V-JITTER,amp=0.052,vel=0.394,dt=0.132
1749670651.078065,FRAME,h=0.594,v=0.633,blink=False
1749670651.078065,H-JITTER,amp=0.011,vel=0.082,dt=0.134
1749670651.078065,V-JITTER,amp=0.033,vel=-0.249,dt=0.134
1749670651.213391,FRAME,h=0.583,v=0.650,blink=False
1749670651.213391,H-JITTER,amp=0.011,vel=-0.078,dt=0.135
1749670651.213391,V-JITTER,amp=0.017,vel=0.129,dt=0.135
1749670651.346407,FRAME,h=0.592,v=0.692,blink=False
1749670651.346407,H-JITTER,amp=0.008,vel=0.063,dt=0.133
1749670651.346407,V-JITTER,amp=0.042,vel=0.317,dt=0.133
1749670651.479779,FRAME,h=0.605,v=0.703,blink=False
1749670651.479779,H-JITTER,amp=0.013,vel=0.100,dt=0.133
1749670651.479779,V-JITTER,amp=0.011,vel=0.083,dt=0.133
1749670651.612841,FRAME,h=0.615,v=0.641,blink=False
1749670651.612841,H-JITTER,amp=0.010,vel=0.075,dt=0.133
1749670651.612841,V-JITTER,amp=0.062,vel=-0.469,dt=0.133
1749670651.749119,FRAME,h=0.604,v=0.658,blink=False
1749670651.749119,H-JITTER,amp=0.010,vel=-0.076,dt=0.136
1749670651.749119,V-JITTER,amp=0.017,vel=0.126,dt=0.136
1749670651.8843799,FRAME,h=0.605,v=0.684,blink=False
1749670651.8843799,V-JITTER,amp=0.026,vel=0.195,dt=0.135
1749670652.0143108,FRAME,h=0.607,v=0.703,blink=False
1749670652.0143108,V-JITTER,amp=0.019,vel=0.146,dt=0.130
1749670652.146703,FRAME,h=0.578,v=0.658,blink=False
1749670652.146703,H-JITTER,amp=0.029,vel=-0.219,dt=0.132
1749670652.146703,V-JITTER,amp=0.045,vel=-0.339,dt=0.132
1749670652.2811499,FRAME,h=0.586,v=0.658,blink=False
1749670652.2811499,H-JITTER,amp=0.009,vel=0.066,dt=0.134
1749670652.413779,FRAME,h=0.573,v=0.675,blink=False
1749670652.413779,H-JITTER,amp=0.014,vel=-0.105,dt=0.133
1749670652.413779,V-JITTER,amp=0.017,vel=0.126,dt=0.133
1749670652.549267,FRAME,h=0.568,v=0.692,blink=False
1749670652.549267,V-JITTER,amp=0.017,vel=0.126,dt=0.135
1749670652.683676,FRAME,h=0.568,v=0.667,blink=False
1749670652.683676,V-JITTER,amp=0.025,vel=-0.186,dt=0.134
1749670652.81645,FRAME,h=0.579,v=0.703,blink=False
1749670652.81645,H-JITTER,amp=0.011,vel=0.083,dt=0.133
1749670652.81645,V-JITTER,amp=0.036,vel=0.272,dt=0.133
