t,h_ratio,v_ratio,blink,sac_start,sac_end,sac_amp,sac_vel,jitter_t,jitter_vel
1748365738.0255601,,,,,,,,,
1748365738.2225978,0.5890333521763709,0.6107142857142858,False,,,,,,
1748365738.362477,0.6072472238457043,0.6516290726817042,False,,,,,1748365738.362477,0.292500808999194
1748365738.494077,0.6022988505747127,0.625,False,,,,,1748365738.494077,-0.20234872559226544
1748365738.629049,0.6016657852987837,0.5811688311688312,False,,,,,1748365738.629049,-0.32474244896477833
1748365738.7618382,0.5937334743521947,0.5742753623188406,False,,,,,1748365738.7618382,-0.0519128982282168
1748365738.907255,0.5937334743521947,0.5543478260869565,False,,,,,1748365738.907255,-0.13703743253651474
1748365739.03164,0.6081669226830517,0.5625,False,,,,,1748365739.03164,0.06553978492257913
1748365739.1756952,0.6048659901118918,0.54,False,,,,,1748365739.1756952,-0.1561902050773651
1748365739.300683,0.6130627114233671,0.6304347826086957,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.1756952,-0.1561902050773651
1748365739.434659,0.601797990481227,0.6086956521739131,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.434659,-0.16226139941048515
1748365739.569174,0.5837732703528757,0.599802371541502,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.569174,-0.06611364918573569
1748365739.702486,0.5774722369116869,0.6376811594202898,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.702486,0.2841363987816375
1748365739.8354251,0.5788251366120218,0.6363636363636364,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.702486,0.2841363987816375
1748365739.967801,0.5600574712643678,0.6666666666666666,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365739.967801,0.22891642345377297
1748365740.109021,0.5507085301472632,0.6225296442687747,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.109021,-0.3125411975499146
1748365740.231201,0.5971896955503513,0.5961538461538461,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.231201,-0.21587658653677777
1748365740.370226,0.5952380952380952,0.5563186813186813,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.370226,-0.2865324408970321
1748365740.5066419,0.634828629032258,0.6217948717948718,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.5066419,0.47997456633351554
1748365740.6361349,0.6478494623655914,0.6225071225071226,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.5066419,0.47997456633351554
1748365740.7734761,0.6402969790066564,0.5788177339901477,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.7734761,-0.3181082525927425
1748365740.901918,0.6294561540463179,0.5511904761904762,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.901918,-0.21509551810981725
1748365741.042084,0.6481813524590163,0.5510855683269477,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365740.901918,-0.21509551810981725
1748365741.1659641,0.6054267947993217,0.5822510822510822,False,1748365739.1756952,1748365739.300683,0.09043478260869564,0.7235486439049181,1748365741.1659641,0.251577952108588
